"","environmentType","intervention_type","contrast","emmean","SE","df","asymp.LCL","asymp.UCL","estimate","z.ratio","p.value"
"27",0,".","economicIncentive - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-62.29332992705,-814.222317355695,0
"28",0,".","legalPolicy - sharedResource",NA,0.0765065370958594,Inf,NA,NA,-27.6558477770906,-361.483460458274,0
"29",0,".","legalPolicy - training",NA,0.0765065370958594,Inf,NA,NA,-16.9416666642302,-221.440772348683,0
"30",0,".","legalPolicy - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-62.6774578694972,-819.243168606169,0
"31",0,".","sharedResource - training",NA,0.0765065370958594,Inf,NA,NA,10.7141811128603,140.042688109591,0
"32",0,".","sharedResource - youthSocialization",NA,0.0765065370958594,Inf,NA,NA,-35.0216100924066,-457.759708147894,0
"33",0,".","training - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-45.7357912052669,-597.802396257486,0
"34",1,".","communityEvent - economicIncentive",NA,0.0765065370958593,Inf,NA,NA,-10.7521603119429,-140.539105808317,0
"35",1,".","communityEvent - legalPolicy",NA,0.0765065370958591,Inf,NA,NA,-7.9599643370619,-104.042930698699,0
"36",1,".","communityEvent - sharedResource",NA,0.0765065370958594,Inf,NA,NA,-0.759473623853888,-9.92691151217968,5.25135490647699e-14
"37",1,".","communityEvent - training",NA,0.0765065370958592,Inf,NA,NA,-0.735633646187178,-9.6153044447099,4.48530101948563e-14
"38",1,".","communityEvent - youthSocialization",NA,0.0765065370958592,Inf,NA,NA,-17.5755547183319,-229.726182696134,0
"39",1,".","economicIncentive - legalPolicy",NA,0.0765065370958591,Inf,NA,NA,2.79219597488098,36.4961751096183,0
"40",1,".","economicIncentive - sharedResource",NA,0.0765065370958594,Inf,NA,NA,9.992686688089,130.612194296137,0
"41",1,".","economicIncentive - training",NA,0.0765065370958594,Inf,NA,NA,10.0165266657557,130.923801363607,0
"42",1,".","economicIncentive - youthSocialization",NA,0.0765065370958592,Inf,NA,NA,-6.82339440638901,-89.1870768878168,0
"43",1,".","legalPolicy - sharedResource",NA,0.0765065370958593,Inf,NA,NA,7.20049071320801,94.1160191865189,0
"44",1,".","legalPolicy - training",NA,0.0765065370958591,Inf,NA,NA,7.22433069087472,94.4276262539889,0
"45",1,".","legalPolicy - youthSocialization",NA,0.0765065370958589,Inf,NA,NA,-9.61559038126999,-125.683251997436,0
"46",1,".","sharedResource - training",NA,0.0765065370958593,Inf,NA,NA,0.0238399776667099,0.311607067469796,0.999610157761321
"47",1,".","sharedResource - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-16.816081094478,-219.799271183954,0
"48",1,".","training - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-16.8399210721447,-220.110878251424,0
"49",2,".","communityEvent - economicIncentive",NA,0.0765065370958593,Inf,NA,NA,1.17660790899548,15.3791813570289,0
"50",2,".","communityEvent - legalPolicy",NA,0.0765065370958592,Inf,NA,NA,0.702440382385912,9.18144264595046,6.97220059464598e-14
"51",2,".","communityEvent - sharedResource",NA,0.0765065370958594,Inf,NA,NA,1.01613037928181,13.2816151122961,0
"52",2,".","communityEvent - training",NA,0.0765065370958594,Inf,NA,NA,1.09214913533337,14.2752394343107,0
"53",2,".","communityEvent - youthSocialization",NA,0.0765065370958592,Inf,NA,NA,-30.645859042691,-400.565235416329,0
"54",2,".","economicIncentive - legalPolicy",NA,0.0765065370958593,Inf,NA,NA,-0.474167526609564,-6.19773871107842,8.58330573283439e-09
"55",2,".","economicIncentive - sharedResource",NA,0.0765065370958594,Inf,NA,NA,-0.160477529713672,-2.09756624473279,0.288416063960808
"56",2,".","economicIncentive - training",NA,0.0765065370958595,Inf,NA,NA,-0.0844587736621101,-1.10394192271814,0.879964916789098
"57",2,".","economicIncentive - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-31.8224669516865,-415.944416773358,0
"58",2,".","legalPolicy - sharedResource",NA,0.0765065370958595,Inf,NA,NA,0.313689996895892,4.10017246634561,0.000589015973497919
"59",2,".","legalPolicy - training",NA,0.0765065370958594,Inf,NA,NA,0.389708752947454,5.09379678836027,5.21505483308538e-06
"60",2,".","legalPolicy - youthSocialization",NA,0.0765065370958593,Inf,NA,NA,-31.3482994250769,-409.746678062279,0
"61",2,".","sharedResource - training",NA,0.0765065370958596,Inf,NA,NA,0.0760187560515618,0.993624322014645,0.920153373926628
"62",2,".","sharedResource - youthSocialization",NA,0.0765065370958596,Inf,NA,NA,-31.6619894219728,-413.846850528623,0
"63",2,".","training - youthSocialization",NA,0.0765065370958595,Inf,NA,NA,-31.7380081780243,-414.840474850638,0
